METADATA SELURUH INDIKATOR,,,,,,,,,,,,,,
Data terakhir diperbarui 20 Agustus 2025,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Jenis Layanan/Jenjang Pendidikan,Nomor Indikator,Nama Indikator,Definisi Konseptual,Definisi Operasional Daerah,Sumber Data,Label Merah,Definisi Label Merah,Label Kuning,Definisi Label Kuning,Label Hijau,Definisi Label Hijau,Ketersediaan Indikator di Tingkat Satuan Pendidikan,Ketersediaan Indikator di Tingkat Kabupaten/Kota,Ketersediaan Indikator di Tingkat Provinsi
Pendidikan Dasar dan Pendidikan Menengah,A.1,Kemampuan literasi,"Kemampuan peserta didik dalam memahami, menggunakan, mengevaluasi, merefleksikan berbagai jenis teks untuk menyelesaikan masalah dan mengembangkan kapasitas individu sebagai warga Indonesia dan warga dunia agar dapat berkontribusi secara produktif di masyarakat.","Persentase peserta didik berdasarkan kemampuan dalam memahami, menggunakan, merefleksi, dan mengevaluasi beragam jenis teks (teks informasional dan teks fiksi).",Asesmen Nasional,Kurang (xx% peserta didik sudah mencapai kompetensi minimum),Kurang dari 40% peserta didik telah mencapai kompetensi minimum untuk literasi membaca perlu upaya mendorong peserta didik dalam mencapai kompetensi minimum.,Sedang (xx% peserta didik sudah mencapai kompetensi minimum),40% - 70% peserta didik telah mencapai kompetensi minimum untuk literasi membaca namun perlu upaya mendorong lebih banyak peserta didik dalam mencapai kompetensi minimum.,Baik (xx% peserta didik sudah mencapai kompetensi minimum),Sebagian besar peserta didik telah mencapai batas kompetensi minimum untuk literasi membaca.,Ya,Ya,Ya
Pendidikan Dasar dan Pendidikan Menengah,A.1.skor,Kemampuan literasi,"Kemampuan peserta didik dalam memahami, menggunakan, mengevaluasi, merefleksikan berbagai jenis teks untuk menyelesaikan masalah dan mengembangkan kapasitas individu sebagai warga Indonesia dan warga dunia agar dapat berkontribusi secara produktif di masyarakat.","Nilai rerata peserta didik berdasarkan kemampuan dalam memahami, menggunakan, merefleksi, dan mengevaluasi beragam jenis teks (teks informasional dan teks fiksi).",Asesmen Nasional,-,-,-,-,-,-,Ya,Ya,Ya
Pendidikan Dasar dan Pendidikan Menengah,A.1.1,Kompetensi membaca teks informasi,"Kemampuan peserta didik dalam memahami, menggunakan, merefleksi, dan mengevaluasi teks informasional (non-fiksi).","Nilai rerata peserta didik dalam memahami, menggunakan, merefleksi, dan mengevaluasi teks informasional (non-fiksi).",Asesmen Nasional,-,-,-,-,-,-,Ya,Ya,Ya
Pendidikan Dasar dan Pendidikan Menengah,A.1.2,Kompetensi membaca teks sastra,"Kemampuan peserta didik dalam memahami, menggunakan, merefleksi, dan mengevaluasi teks fiksi.","Nilai rerata peserta didik dalam memahami, menggunakan, merefleksi, dan mengevaluasi teks fiksi.",Asesmen Nasional,-,-,-,-,-,-,Ya,Ya,Ya
Pendidikan Dasar dan Pendidikan Menengah,A.1.3,Kompetensi mengakses dan menemukan isi teks (L1),"Kemampuan peserta didik menemukan, mengidentifikasi, dan mendeskripsikan suatu ide atau informasi eksplisit dalam teks informasional (non-fiksi) dan sastra.","Nilai rerata peserta didik pada kemampuan menemukan, mengidentifikasi, dan mendeskripsikan suatu ide atau informasi eksplisit dalam teks informasional (non-fiksi) dan sastra.",Asesmen Nasional,-,-,-,-,-,-,Ya,Ya,Ya
Pendidikan Dasar dan Pendidikan Menengah,A.1.4,Kompetensi menginterpretasi dan memahami isi teks (L2),"Kemampuan peserta didik dalam membandingkan dan mengontraskan ide atau informasi dalam atau antarteks, membuat kesimpulan, mengelompokkan, serta mengombinasikan ide dan informasi dalam teks atau antarteks informasional (non-fiksi) dan sastra.","Nilai rerata peserta didik pada kemampuan membandingkan dan mengontraskan ide atau informasi dalam atau antarteks, membuat kesimpulan, mengelompokkan, serta mengombinasikan ide dan informasi dalam teks atau antarteks informasional (non-fiksi) dan sastra.",Asesmen Nasional,-,-,-,-,-,-,Ya,Ya,Ya
Pendidikan Dasar dan Pendidikan Menengah,A.1.5,Kompetensi mengevaluasi dan merefleksikan isi teks (L3),"Kemampuan peserta didik dalam menganalisis, memprediksi, dan menilai konten, bahasa, dan unsur-unsur dalam teks informasional (non-fiksi) dan sastra.","Nilai rerata peserta didik pada kemampuan menganalisis, memprediksi, dan menilai konten, bahasa, dan unsur-unsur dalam teks informasional (non-fiksi) dan sastra.",Asesmen Nasional,-,-,-,-,-,-,Ya,Ya,Ya
Pendidikan Dasar dan Pendidikan Menengah,A.2,Kemampuan numerasi,"Kemampuan peserta didik dalam berpikir menggunakan konsep, prosedur, fakta, dan alat matematika untuk menyelesaikan masalah sehari-hari pada berbagai jenis konteks yang relevan untuk individu sebagai warga negara Indonesia dan dunia.","Persentase peserta didik berdasarkan kemampuan dalam berpikir menggunakan konsep, prosedur, fakta, dan alat matematika untuk menyelesaikan masalah sehari-hari pada berbagai jenis konteks yang relevan.",Asesmen Nasional,Kurang (xx% peserta didik sudah mencapai kompetensi minimum),Kurang dari 40% peserta didik telah mencapai kompetensi minimum untuk numerasi perlu upaya mendorong peserta didik dalam mencapai kompetensi minimum.,Sedang (xx% peserta didik sudah mencapai kompetensi minimum),40% - 70% peserta didik telah mencapai kompetensi minimum untuk numerasi namun perlu upaya mendorong lebih banyak peserta didik dalam mencapai kompetensi minimum.,Baik (xx% peserta didik sudah mencapai kompetensi minimum),Sebagian besar peserta didik telah mencapai batas kompetensi minimum untuk numerasi,Ya,Ya,Ya
Pendidikan Dasar dan Pendidikan Menengah,A.2.skor,Kemampuan numerasi,"Kemampuan peserta didik dalam berpikir menggunakan konsep, prosedur, fakta, dan alat matematika untuk menyelesaikan masalah sehari-hari pada berbagai jenis konteks yang relevan untuk individu sebagai warga negara Indonesia dan dunia.","Nilai rerata peserta didik berdasarkan kemampuan dalam berpikir menggunakan konsep, prosedur, fakta, dan alat matematika untuk menyelesaikan masalah sehari-hari pada berbagai jenis konteks yang relevan.",Asesmen Nasional,-,-,-,-,-,-,Ya,Ya,Ya
Pendidikan Dasar dan Pendidikan Menengah,A.2.1,Kompetensi pada domain Bilangan,"Kemampuan peserta didik dalam berpikir menggunakan konsep, prosedur, fakta, dan alat matematika pada konten bilangan untuk menyelesaikan masalah sehari-hari.","Nilai rerata peserta didik dalam berpikir menggunakan konsep, prosedur, fakta, dan alat matematika pada konten bilangan untuk menyelesaikan masalah sehari-hari.",Asesmen Nasional,-,-,-,-,-,-,Ya,Ya,Ya
Pendidikan Dasar dan Pendidikan Menengah,A.2.2,Kompetensi pada domain Aljabar,"Kemampuan peserta didik dalam berpikir menggunakan konsep, prosedur, fakta, dan alat matematika pada konten aljabar untuk menyelesaikan masalah sehari-hari.","Nilai rerata peserta didik dalam berpikir menggunakan konsep, prosedur, fakta, dan alat matematika pada konten aljabar untuk menyelesaikan masalah sehari-hari.",Asesmen Nasional,-,-,-,-,-,-,Ya,Ya,Ya
Pendidikan Dasar dan Pendidikan Menengah,A.2.3,Kompetensi pada domain Geometri,"Kemampuan peserta didik dalam berpikir menggunakan konsep, prosedur, fakta, dan alat matematika pada konten geometri untuk menyelesaikan masalah sehari-hari.","Nilai rerata peserta didik dalam berpikir menggunakan konsep, prosedur, fakta, dan alat matematika pada konten geometri untuk menyelesaikan masalah sehari-hari.",Asesmen Nasional,-,-,-,-,-,-,Ya,Ya,Ya
Pendidikan Dasar dan Pendidikan Menengah,A.2.4,Kompetensi pada domain Data dan Ketidakpastian,"Kemampuan peserta didik dalam berpikir menggunakan konsep, prosedur, fakta, dan alat matematika pada konten data dan ketidakpastian untuk menyelesaikan masalah sehari-hari.","Nilai rerata peserta didik dalam berpikir menggunakan konsep, prosedur, fakta, dan alat matematika pada konten data dan ketidakpastian untuk menyelesaikan masalah sehari-hari.",Asesmen Nasional,-,-,-,-,-,-,Ya,Ya,Ya
Pendidikan Dasar dan Pendidikan Menengah,A.2.5,Kompetensi mengetahui (L1),"Kemampuan peserta didik memahami fakta, proses, konsep, dan prosedur.","Nilai rerata peserta didik pada kemampuan memahami fakta, proses, konsep, dan prosedur.",Asesmen Nasional,-,-,-,-,-,-,Ya,Ya,Ya
Pendidikan Dasar dan Pendidikan Menengah,A.2.6,Kompetensi menerapkan (L2),"Kemampuan peserta didik menerapkan pengetahuan dan pemahaman tentang fakta-fakta, relasi, proses, konsep, prosedur, dan metode pada konten bilangan dengan konteks situasi nyata untuk menyelesaikan masalah atau menjawab pertanyaan.","Nilai rerata peserta didik pada kemampuan menerapkan pengetahuan dan pemahaman tentang fakta-fakta, relasi, proses, konsep, prosedur, dan metode pada konten bilangan dengan konteks situasi nyata untuk menyelesaikan masalah atau menjawab pertanyaan.",Asesmen Nasional,-,-,-,-,-,-,Ya,Ya,Ya
